,suspicious_value,group_statistics,conditions,tree_depth,uses_NA_branch,outlier_score
436,"{'column': 'A14', 'value': 7.4250525478745315, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 1.3349740209999998, 'decimals': 1}]",1.0,0.0,0.006772623006613234
437,{},{},[],,,
438,"{'column': 'A11', 'value': 5.2846896630530535, 'decimals': 0}","{'upper_thr': 1.664713638, 'pct_below': 0.9933774834437086, 'mean': 0.707504573619167, 'sd': 0.39450926710800494, 'n_obs': 1200}","[{'column': 'A13', 'comparison': '<=', 'value_comp': 1.06034643, 'value_this': 0.42469129, 'decimals': 1}]",1.0,0.0,0.007335739965831941
439,{},{},[],,,
440,{},{},[],,,
441,{},{},[],,,
442,{},{},[],,,
443,{},{},[],,,
444,{},{},[],,,
445,{},{},[],,,
446,{},{},[],,,
447,{},{},[],,,
448,{},{},[],,,
449,{},{},[],,,
450,{},{},[],,,
451,{},{},[],,,
452,{},{},[],,,
453,"{'column': 'A8', 'value': 0.051612626, 'decimals': 1}","{'lower_thr': 0.167424781, 'pct_above': 0.9940476190476191, 'mean': 1.1849026749676939, 'sd': 1.1842893337498384, 'n_obs': 167}","[{'column': 'A7', 'comparison': '>', 'value_comp': 1.4111425569999998, 'value_this': 4.16377044630887, 'decimals': 1}]",1.0,0.0,0.008890975589019889
454,{},{},[],,,
455,{},{},[],,,
456,{},{},[],,,
457,{},{},[],,,
458,{},{},[],,,
459,{},{},[],,,
460,{},{},[],,,
461,{},{},[],,,
462,{},{},[],,,
463,{},{},[],,,
464,{},{},[],,,
465,{},{},[],,,
466,{},{},[],,,
467,{},{},[],,,
468,{},{},[],,,
469,{},{},[],,,
470,{},{},[],,,
471,{},{},[],,,
472,{},{},[],,,
473,{},{},[],,,
474,{},{},[],,,
475,{},{},[],,,
476,{},{},[],,,
477,{},{},[],,,
478,{},{},[],,,
479,"{'column': 'A17', 'value': 5.266542878976434, 'decimals': 0}","{'upper_thr': 2.871594747, 'pct_below': 0.9902182091798345, 'mean': 0.5120842108791792, 'sd': 0.34117087658797596, 'n_obs': 1316}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 1.14784714, 'value_this': 0.5073669679999999, 'decimals': 1}]",1.0,0.0,0.004783401870407989
480,{},{},[],,,
481,{},{},[],,,
482,{},{},[],,,
483,"{'column': 'A11', 'value': 6.341335355820117, 'decimals': 0}","{'upper_thr': 1.664713638, 'pct_below': 0.9933774834437086, 'mean': 0.707504573619167, 'sd': 0.39450926710800494, 'n_obs': 1200}","[{'column': 'A13', 'comparison': '<=', 'value_comp': 1.06034643, 'value_this': 0.149684304, 'decimals': 1}]",1.0,0.0,0.0048410602072499935
484,{},{},[],,,
485,{},{},[],,,
486,{},{},[],,,
487,{},{},[],,,
488,"{'column': 'A19', 'value': 0.010817257, 'decimals': 2}","{'lower_thr': 0.044217591, 'pct_above': 0.991304347826087, 'mean': 0.5105930310580068, 'sd': 0.8416748121200173, 'n_obs': 228}","[{'column': 'A0', 'comparison': '>', 'value_comp': 0.8514486109999999, 'value_this': 2.3230625, 'decimals': 1}, {'column': 'A4', 'comparison': '<=', 'value_comp': 0.6835984740000001, 'value_this': 0.494405766, 'decimals': 1}, {'column': 'A11', 'comparison': '<=', 'value_comp': 0.58577676, 'value_this': 0.23499032600000005, 'decimals': 1}]",3.0,0.0,0.010958419201530975
489,{},{},[],,,
490,{},{},[],,,
491,{},{},[],,,
492,{},{},[],,,
493,{},{},[],,,
494,{},{},[],,,
495,{},{},[],,,
496,"{'column': 'A7', 'value': 4.117521626733194, 'decimals': 0}","{'upper_thr': 1.939083501, 'pct_below': 0.9921568627450981, 'mean': 0.5158722251343871, 'sd': 0.34208807830535337, 'n_obs': 253}","[{'column': 'A16', 'comparison': '>', 'value_comp': 0.600269296, 'value_this': 0.780616025, 'decimals': 1}, {'column': 'A8', 'comparison': '<=', 'value_comp': 1.093922023, 'value_this': 0.7464855570000001, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 1.012198086, 'value_this': 1.226019726, 'decimals': 1}]",3.0,0.0,0.008356631047603888
497,{},{},[],,,
498,{},{},[],,,
499,{},{},[],,,
500,{},{},[],,,
501,"{'column': 'A19', 'value': 3.885255949, 'decimals': 0}","{'upper_thr': 0.690589748, 'pct_below': 0.9724137931034482, 'mean': 0.6221874438581555, 'sd': 0.10121792070687155, 'n_obs': 141}","[{'column': 'A11', 'comparison': '<=', 'value_comp': 1.558808208, 'value_this': 0.7446349059999999, 'decimals': 1}, {'column': 'A9', 'comparison': '>', 'value_comp': 0.420487348, 'value_this': 7.682692523526418, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.58577676, 'value_this': 0.7446349059999999, 'decimals': 1}]",3.0,0.0,0.00616969825840455
502,{},{},[],,,
503,{},{},[],,,
504,{},{},[],,,
505,{},{},[],,,
506,{},{},[],,,
507,{},{},[],,,
508,{},{},[],,,
509,{},{},[],,,
510,"{'column': 'A19', 'value': 1.747634602, 'decimals': 0}","{'upper_thr': 0.690589748, 'pct_below': 0.9724137931034482, 'mean': 0.6221874438581555, 'sd': 0.10121792070687155, 'n_obs': 141}","[{'column': 'A11', 'comparison': '<=', 'value_comp': 1.558808208, 'value_this': 1.088827555, 'decimals': 1}, {'column': 'A9', 'comparison': '>', 'value_comp': 0.420487348, 'value_this': 0.948798937, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.58577676, 'value_this': 1.088827555, 'decimals': 1}]",3.0,0.0,0.019505675057405743
511,{},{},[],,,
512,{},{},[],,,
513,{},{},[],,,
514,{},{},[],,,
515,{},{},[],,,
516,"{'column': 'A0', 'value': 4.991710624793397, 'decimals': 0}","{'upper_thr': 2.121253055, 'pct_below': 0.92, 'mean': 1.5519446816086955, 'sd': 0.49642258455744076, 'n_obs': 23}","[{'column': 'A3', 'comparison': '<=', 'value_comp': 0.141257691, 'value_this': 0.108624229, 'decimals': 1}, {'column': 'A17', 'comparison': '<=', 'value_comp': 1.470075183, 'value_this': 1.278530922, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 1.059105003, 'value_this': 1.266006767, 'decimals': 1}]",3.0,0.0,0.01611553924330455
517,{},{},[],,,
518,{},{},[],,,
519,"{'column': 'A14', 'value': 10.299792116374851, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 3.197089892, 'decimals': 1}]",1.0,0.0,0.0032976169958829574
520,{},{},[],,,
521,{},{},[],,,
522,{},{},[],,,
523,{},{},[],,,
524,{},{},[],,,
525,{},{},[],,,
526,{},{},[],,,
527,{},{},[],,,
528,{},{},[],,,
529,{},{},[],,,
530,{},{},[],,,
531,{},{},[],,,
532,{},{},[],,,
533,{},{},[],,,
534,{},{},[],,,
535,{},{},[],,,
536,"{'column': 'A3', 'value': 8.697096974751872, 'decimals': 0}","{'upper_thr': 2.424123562, 'pct_below': 0.9743589743589743, 'mean': 0.8264367329736846, 'sd': 0.5587207626480757, 'n_obs': 152}","[{'column': 'A14', 'comparison': '>', 'value_comp': 1.44140775, 'value_this': 1.998656888, 'decimals': 1}]",1.0,0.0,0.00526069827481663
537,{},{},[],,,
538,{},{},[],,,
539,{},{},[],,,
540,{},{},[],,,
541,{},{},[],,,
542,{},{},[],,,
543,{},{},[],,,
544,{},{},[],,,
545,"{'column': 'A1', 'value': 0.138027636, 'decimals': 1}","{'lower_thr': 0.498193874, 'pct_above': 0.96875, 'mean': 0.908346797096774, 'sd': 0.15274424417106117, 'n_obs': 31}","[{'column': 'A9', 'comparison': '>', 'value_comp': 0.420487348, 'value_this': 10.159122461579974, 'decimals': 1}, {'column': 'A18', 'comparison': '<=', 'value_comp': 0.871978122, 'value_this': 0.32024008600000003, 'decimals': 1}, {'column': 'A13', 'comparison': '<=', 'value_comp': 2.325378562, 'value_this': 1.909729009, 'decimals': 1}, {'column': 'A13', 'comparison': '>', 'value_comp': 1.170349224, 'value_this': 1.909729009, 'decimals': 1}]",4.0,0.0,0.005764330270597609
546,{},{},[],,,
547,{},{},[],,,
548,{},{},[],,,
549,"{'column': 'A17', 'value': 5.916369008329954, 'decimals': 0}","{'upper_thr': 2.871594747, 'pct_below': 0.9902182091798345, 'mean': 0.5120842108791792, 'sd': 0.34117087658797596, 'n_obs': 1316}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 1.14784714, 'value_this': 0.665076358, 'decimals': 1}]",1.0,0.0,0.003702239452084484
550,{},{},[],,,
551,{},{},[],,,
552,{},{},[],,,
553,{},{},[],,,
554,{},{},[],,,
555,"{'column': 'A19', 'value': 0.456787413, 'decimals': 1}","{'lower_thr': 0.590388747, 'pct_above': 0.9259259259259259, 'mean': 0.66787752092, 'sd': 0.02678976073962532, 'n_obs': 25}","[{'column': 'A16', 'comparison': '<=', 'value_comp': 0.241348772, 'value_this': 0.17946026199999998, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 0.630673402, 'value_this': 0.978109868, 'decimals': 1}, {'column': 'A9', 'comparison': '>', 'value_comp': 0.420487348, 'value_this': 0.5753572229999999, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.58577676, 'value_this': 0.843946552, 'decimals': 1}]",4.0,0.0,0.01633543655489991
556,{},{},[],,,
557,"{'column': 'A3', 'value': 7.5689931872817855, 'decimals': 0}","{'upper_thr': 3.584122058, 'pct_below': 0.9974025974025974, 'mean': 0.8050623902200523, 'sd': 0.5617003258756843, 'n_obs': 768}","[{'column': 'A7', 'comparison': '>', 'value_comp': 0.8128879040000001, 'value_this': 1.4111425569999998, 'decimals': 1}]",1.0,0.0,0.00624490079485029
558,"{'column': 'A3', 'value': 6.694836230724351, 'decimals': 0}","{'upper_thr': 2.577858329, 'pct_below': 0.9626168224299065, 'mean': 1.0347378488834953, 'sd': 0.5506471960488593, 'n_obs': 103}","[{'column': 'A16', 'comparison': '>', 'value_comp': 1.50200294, 'value_this': 1.5037758730000002, 'decimals': 1}]",1.0,0.0,0.01014136041003926
559,{},{},[],,,
560,{},{},[],,,
561,"{'column': 'A14', 'value': 8.512779244089693, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 1.610843039, 'decimals': 1}]",1.0,0.0,0.004999693857826095
562,{},{},[],,,
563,{},{},[],,,
564,{},{},[],,,
565,{},{},[],,,
566,{},{},[],,,
567,{},{},[],,,
568,{},{},[],,,
569,{},{},[],,,
570,{},{},[],,,
571,"{'column': 'A14', 'value': 10.062242370375753, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 0.714268731, 'decimals': 1}]",1.0,0.0,0.003468702035618576
572,{},{},[],,,
573,{},{},[],,,
574,{},{},[],,,
575,"{'column': 'A3', 'value': 5.399994415000976, 'decimals': 0}","{'upper_thr': 1.759658436, 'pct_below': 0.9946236559139785, 'mean': 0.8451517749567569, 'sd': 0.5526054145746762, 'n_obs': 185}","[{'column': 'A1', 'comparison': '>', 'value_comp': 0.201367849, 'value_this': 0.919988437, 'decimals': 1}, {'column': 'A2', 'comparison': '<=', 'value_comp': 0.133306714, 'value_this': 0.051602877000000005, 'decimals': 1}]",2.0,0.0,0.015375988955006085
576,{},{},[],,,
577,{},{},[],,,
578,"{'column': 'A19', 'value': 8.520024734836833, 'decimals': 0}","{'upper_thr': 0.657189414, 'pct_below': 0.9801980198019802, 'mean': 0.4808408709999999, 'sd': 0.14253733129253032, 'n_obs': 99}","[{'column': 'A9', 'comparison': '<=', 'value_comp': 0.388636366, 'value_this': 0.13967522300000002, 'decimals': 1}, {'column': 'A4', 'comparison': '<=', 'value_comp': 0.6835984740000001, 'value_this': 0.6835984740000001, 'decimals': 1}, {'column': 'A11', 'comparison': '<=', 'value_comp': 0.58577676, 'value_this': 0.532824045, 'decimals': 1}]",3.0,0.0,0.012418976114459915
579,{},{},[],,,
580,{},{},[],,,
581,{},{},[],,,
582,{},{},[],,,
583,{},{},[],,,
584,{},{},[],,,
585,{},{},[],,,
586,"{'column': 'A3', 'value': 5.6592037979431025, 'decimals': 0}","{'upper_thr': 1.759658436, 'pct_below': 0.9884393063583815, 'mean': 0.7741231128888886, 'sd': 0.5405502522021829, 'n_obs': 171}","[{'column': 'A9', 'comparison': '>', 'value_comp': 0.388636366, 'value_this': 0.420487348, 'decimals': 1}, {'column': 'A2', 'comparison': '<=', 'value_comp': 0.133306714, 'value_this': 0.088225074, 'decimals': 1}]",2.0,0.0,0.012891721173133908
587,"{'column': 'A13', 'value': 6.702006117534224, 'decimals': 0}","{'upper_thr': 2.514744376, 'pct_below': 0.979381443298969, 'mean': 1.6971917471473685, 'sd': 0.3029985682861303, 'n_obs': 95}","[{'column': 'A11', 'comparison': '>', 'value_comp': 1.585284566, 'value_this': 1.7242601380000002, 'decimals': 1}, {'column': 'A11', 'comparison': '<=', 'value_comp': 2.015500072, 'value_this': 1.7242601380000002, 'decimals': 1}, {'column': 'A12', 'comparison': '<=', 'value_comp': 1.446750766, 'value_this': 1.119108906, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 1.241091916, 'value_this': 1.7242601380000002, 'decimals': 1}]",4.0,0.0,0.01624059642678798
588,"{'column': 'A7', 'value': 4.675298525879705, 'decimals': 0}","{'upper_thr': 1.998908966, 'pct_below': 0.9960707269155207, 'mean': 0.9588574324575939, 'sd': 0.41798421614225245, 'n_obs': 507}","[{'column': 'A20', 'comparison': '<=', 'value_comp': 0.493293969, 'value_this': 0.493293969, 'decimals': 1}, {'column': 'A12', 'comparison': '<=', 'value_comp': 1.012198086, 'value_this': 0.16382093, 'decimals': 1}]",2.0,0.0,0.011920330852149066
589,{},{},[],,,
590,"{'column': 'A1', 'value': 0.00626008, 'decimals': 1}","{'lower_thr': 0.188457543, 'pct_above': 0.9846153846153847, 'mean': 1.083365005328125, 'sd': 0.6387104225424161, 'n_obs': 64}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 0.5763342220000001, 'value_this': 0.5073669679999999, 'decimals': 1}, {'column': 'A17', 'comparison': '>', 'value_comp': 0.573063607, 'value_this': 0.64005005, 'decimals': 1}, {'column': 'A0', 'comparison': '<=', 'value_comp': 0.639814537, 'value_this': 0.110729352, 'decimals': 1}, {'column': 'A13', 'comparison': '<=', 'value_comp': 1.170349224, 'value_this': 0.20468570100000005, 'decimals': 1}]",4.0,0.0,0.012913097544969557
591,{},{},[],,,
592,"{'column': 'A10', 'value': 12.738915561387248, 'decimals': 0}","{'upper_thr': 7.231817841, 'pct_below': 0.9921450151057402, 'mean': 0.7334583648781969, 'sd': 0.6748631446469068, 'n_obs': 1642}",[],0.0,0.0,0.0024903768052868935
593,{},{},[],,,
594,{},{},[],,,
595,{},{},[],,,
596,{},{},[],,,
597,{},{},[],,,
598,{},{},[],,,
599,{},{},[],,,
600,{},{},[],,,
601,{},{},[],,,
602,{},{},[],,,
603,{},{},[],,,
604,"{'column': 'A3', 'value': 6.48399110521096, 'decimals': 0}","{'upper_thr': 3.584122058, 'pct_below': 0.9952904238618524, 'mean': 0.7848178262870661, 'sd': 0.528806769965849, 'n_obs': 634}","[{'column': 'A19', 'comparison': '<=', 'value_comp': 0.445021593, 'value_this': 0.111018258, 'decimals': 1}]",1.0,0.0,0.007911352296618247
605,{},{},[],,,
606,{},{},[],,,
607,{},{},[],,,
608,{},{},[],,,
609,"{'column': 'A11', 'value': 6.417163053638044, 'decimals': 0}","{'upper_thr': 2.70388537, 'pct_below': 0.9988304093567252, 'mean': 0.9396656368243561, 'sd': 0.4568550317840766, 'n_obs': 854}","[{'column': 'A10', 'comparison': '<=', 'value_comp': 0.853399592, 'value_this': 0.478926364, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 0.442007048, 'value_this': 1.368567485, 'decimals': 1}]",2.0,0.0,0.006001105072648125
610,{},{},[],,,
611,{},{},[],,,
612,{},{},[],,,
613,{},{},[],,,
614,"{'column': 'A3', 'value': 8.565676062316552, 'decimals': 0}","{'upper_thr': 2.577858329, 'pct_below': 0.9626168224299065, 'mean': 1.0347378488834953, 'sd': 0.5506471960488593, 'n_obs': 103}","[{'column': 'A16', 'comparison': '>', 'value_comp': 1.50200294, 'value_this': 1.744238178, 'decimals': 1}]",1.0,0.0,0.005708843286882598
615,{},{},[],,,
616,{},{},[],,,
617,{},{},[],,,
618,"{'column': 'A18', 'value': 5.192554914758813, 'decimals': 0}","{'upper_thr': 2.71431911, 'pct_below': 0.9910380881254668, 'mean': 0.5680870879487568, 'sd': 0.4179124624845786, 'n_obs': 1327}","[{'column': 'A0', 'comparison': '<=', 'value_comp': 1.264892129, 'value_this': 0.629989907, 'decimals': 1}]",1.0,0.0,0.007579115499882229
619,{},{},[],,,
620,{},{},[],,,
621,{},{},[],,,
622,"{'column': 'A8', 'value': 0.051612626, 'decimals': 1}","{'lower_thr': 0.167424781, 'pct_above': 0.9962406015037594, 'mean': 1.1375870093126799, 'sd': 1.4468155240090141, 'n_obs': 265}","[{'column': 'A4', 'comparison': '<=', 'value_comp': 1.190871313, 'value_this': 0.6835984740000001, 'decimals': 1}, {'column': 'A19', 'comparison': '>', 'value_comp': 0.490187746, 'value_this': 0.645423595, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 1.190382786, 'value_this': 1.439841365, 'decimals': 1}]",3.0,0.0,0.005621674642531012
623,{},{},[],,,
624,{},{},[],,,
625,{},{},[],,,
626,{},{},[],,,
627,{},{},[],,,
628,{},{},[],,,
629,{},{},[],,,
630,{},{},[],,,
631,"{'column': 'A17', 'value': 4.831604747738554, 'decimals': 0}","{'upper_thr': 2.871594747, 'pct_below': 0.9902182091798345, 'mean': 0.5120842108791792, 'sd': 0.34117087658797596, 'n_obs': 1316}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 1.14784714, 'value_this': 0.5271418489999999, 'decimals': 1}]",1.0,0.0,0.005795171760576169
632,{},{},[],,,
633,{},{},[],,,
634,{},{},[],,,
635,{},{},[],,,
636,{},{},[],,,
637,{},{},[],,,
638,{},{},[],,,
639,{},{},[],,,
640,"{'column': 'A10', 'value': 16.692508935893485, 'decimals': 0}","{'upper_thr': 7.231817841, 'pct_below': 0.9921450151057402, 'mean': 0.7334583648781969, 'sd': 0.6748631446469068, 'n_obs': 1642}",[],0.0,0.0,0.0014103221520956131
641,{},{},[],,,
642,{},{},[],,,
643,{},{},[],,,
644,{},{},[],,,
645,{},{},[],,,
646,{},{},[],,,
647,{},{},[],,,
648,{},{},[],,,
649,{},{},[],,,
650,{},{},[],,,
651,{},{},[],,,
652,{},{},[],,,
653,{},{},[],,,
654,{},{},[],,,
655,{},{},[],,,
656,{},{},[],,,
657,{},{},[],,,
658,{},{},[],,,
659,{},{},[],,,
660,{},{},[],,,
661,{},{},[],,,
662,{},{},[],,,
663,{},{},[],,,
664,{},{},[],,,
665,{},{},[],,,
666,{},{},[],,,
667,{},{},[],,,
668,{},{},[],,,
669,{},{},[],,,
670,{},{},[],,,
671,{},{},[],,,
672,{},{},[],,,
673,"{'column': 'A17', 'value': 5.092932113368902, 'decimals': 0}","{'upper_thr': 2.172404143, 'pct_below': 0.9929133858267717, 'mean': 0.6285512101197462, 'sd': 0.44359854947916805, 'n_obs': 1261}","[{'column': 'A13', 'comparison': '<=', 'value_comp': 1.170349224, 'value_this': 0.149684304, 'decimals': 1}]",1.0,0.0,0.009624109149390585
674,{},{},[],,,
675,"{'column': 'A11', 'value': 5.942574521141763, 'decimals': 0}","{'upper_thr': 4.144075560649338, 'pct_below': 0.9767441860465116, 'mean': 1.7900698539916509, 'sd': 0.5114373617779414, 'n_obs': 42}","[{'column': 'A0', 'comparison': '<=', 'value_comp': 1.053258055, 'value_this': 1.053258055, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 1.209734178, 'value_this': 4.001812805, 'decimals': 1}, {'column': 'A13', 'comparison': '>', 'value_comp': 1.06034643, 'value_this': 1.854727612, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 0.442007048, 'value_this': 1.332930546, 'decimals': 1}]",4.0,0.0,0.004125438691091901
676,{},{},[],,,
677,"{'column': 'A10', 'value': 14.1254234185385, 'decimals': 0}","{'upper_thr': 7.231817841, 'pct_below': 0.9921450151057402, 'mean': 0.7334583648781969, 'sd': 0.6748631446469068, 'n_obs': 1642}",[],0.0,0.0,0.0020019968051903114
678,{},{},[],,,
679,{},{},[],,,
680,{},{},[],,,
681,{},{},[],,,
682,{},{},[],,,
683,{},{},[],,,
684,"{'column': 'A12', 'value': 5.063865023388537, 'decimals': 0}","{'upper_thr': 2.302037324, 'pct_below': 0.9333333333333333, 'mean': 1.4962579468571433, 'sd': 0.48444606299149295, 'n_obs': 28}","[{'column': 'A16', 'comparison': '>', 'value_comp': 1.562118516, 'value_this': 3.00666528, 'decimals': 1}, {'column': 'A13', 'comparison': '>', 'value_comp': 0.620335254, 'value_this': 1.854727612, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 0.411635995, 'value_this': 0.630673402, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.718158548, 'value_this': 0.896899267, 'decimals': 1}]",4.0,0.0,0.02022892240729552
685,{},{},[],,,
686,{},{},[],,,
687,{},{},[],,,
688,{},{},[],,,
689,"{'column': 'A3', 'value': 5.414271199413047, 'decimals': 0}","{'upper_thr': 2.424123562, 'pct_below': 0.9988571428571429, 'mean': 0.7044240768867286, 'sd': 0.5146086590994168, 'n_obs': 874}","[{'column': 'A16', 'comparison': '<=', 'value_comp': 0.782388958, 'value_this': 0.600269296, 'decimals': 1}, {'column': 'A1', 'comparison': '>', 'value_comp': 0.174668883, 'value_this': 0.364849371, 'decimals': 1}, {'column': 'A2', 'comparison': '>', 'value_comp': 0.133306714, 'value_this': 0.203640486, 'decimals': 1}]",3.0,0.0,0.011344769199846907
690,{},{},[],,,
691,{},{},[],,,
692,{},{},[],,,
693,"{'column': 'A7', 'value': 5.551379729762808, 'decimals': 0}","{'upper_thr': 1.998908966, 'pct_below': 0.9666666666666667, 'mean': 0.8744349325862067, 'sd': 0.5435836815332459, 'n_obs': 58}","[{'column': 'A0', 'comparison': '<=', 'value_comp': 0.418355833, 'value_this': 0.206721759, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 1.093922023, 'value_this': 1.1065089259999998, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 1.012198086, 'value_this': 1.439841365, 'decimals': 1}]",3.0,0.0,0.014354215781251714
694,{},{},[],,,
695,"{'column': 'A18', 'value': 7.292011081013857, 'decimals': 0}","{'upper_thr': 2.71431911, 'pct_below': 0.9910380881254668, 'mean': 0.5680870879487568, 'sd': 0.4179124624845786, 'n_obs': 1327}","[{'column': 'A0', 'comparison': '<=', 'value_comp': 1.264892129, 'value_this': 1.053258055, 'decimals': 1}]",1.0,0.0,0.0035866524483095866
696,{},{},[],,,
697,{},{},[],,,
698,{},{},[],,,
699,{},{},[],,,
700,{},{},[],,,
701,{},{},[],,,
702,{},{},[],,,
703,{},{},[],,,
704,{},{},[],,,
705,{},{},[],,,
706,{},{},[],,,
707,{},{},[],,,
708,{},{},[],,,
709,{},{},[],,,
710,{},{},[],,,
711,{},{},[],,,
712,{},{},[],,,
713,{},{},[],,,
714,{},{},[],,,
715,{},{},[],,,
716,{},{},[],,,
717,{},{},[],,,
718,{},{},[],,,
719,{},{},[],,,
720,{},{},[],,,
721,{},{},[],,,
722,"{'column': 'A7', 'value': 4.6143737894084085, 'decimals': 0}","{'upper_thr': 1.998908966, 'pct_below': 0.9960707269155207, 'mean': 0.9588574324575939, 'sd': 0.41798421614225245, 'n_obs': 507}","[{'column': 'A20', 'comparison': '<=', 'value_comp': 0.493293969, 'value_this': 0.493293969, 'decimals': 1}, {'column': 'A12', 'comparison': '<=', 'value_comp': 1.012198086, 'value_this': 0.8052858479999999, 'decimals': 1}]",2.0,0.0,0.012321458590478588
723,{},{},[],,,
724,{},{},[],,,
725,{},{},[],,,
726,{},{},[],,,
727,"{'column': 'A16', 'value': 6.920945614282568, 'decimals': 0}","{'upper_thr': 3.004892346, 'pct_below': 0.9954198473282443, 'mean': 1.0074757688450922, 'sd': 0.40696229451111365, 'n_obs': 652}","[{'column': 'A2', 'comparison': '<=', 'value_comp': 0.324623822, 'value_this': 0.203640486, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 0.714268731, 'value_this': 0.783235985, 'decimals': 1}]",2.0,0.0,0.00384651118873495
728,{},{},[],,,
729,{},{},[],,,
730,{},{},[],,,
731,{},{},[],,,
732,{},{},[],,,
733,{},{},[],,,
734,{},{},[],,,
735,{},{},[],,,
736,"{'column': 'A7', 'value': 5.602399400354408, 'decimals': 0}","{'upper_thr': 2.058734431, 'pct_below': 0.9230769230769231, 'mean': 1.2267297157916666, 'sd': 0.4669677606936106, 'n_obs': 24}","[{'column': 'A10', 'comparison': '<=', 'value_comp': 0.287041604, 'value_this': 0.065761969, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 1.093922023, 'value_this': 1.209734178, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 1.012198086, 'value_this': 1.518024646, 'decimals': 1}]",3.0,0.0,0.011292221093200735
737,{},{},[],,,
738,"{'column': 'A11', 'value': 4.144075560649338, 'decimals': 0}","{'upper_thr': 2.227310933, 'pct_below': 0.9772727272727273, 'mean': 1.7955313868372094, 'sd': 0.23541391904096998, 'n_obs': 43}","[{'column': 'A15', 'comparison': '>', 'value_comp': 0.488278885, 'value_this': 2.414443968, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 1.209734178, 'value_this': 3.88600065, 'decimals': 1}, {'column': 'A13', 'comparison': '>', 'value_comp': 1.06034643, 'value_this': 1.304713642, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 0.442007048, 'value_this': 1.439841365, 'decimals': 1}]",4.0,0.0,0.007890281610962883
739,{},{},[],,,
740,{},{},[],,,
741,{},{},[],,,
742,{},{},[],,,
743,{},{},[],,,
744,{},{},[],,,
745,{},{},[],,,
746,{},{},[],,,
747,{},{},[],,,
748,{},{},[],,,
749,{},{},[],,,
750,{},{},[],,,
751,{},{},[],,,
752,{},{},[],,,
753,{},{},[],,,
754,{},{},[],,,
755,{},{},[],,,
756,{},{},[],,,
757,{},{},[],,,
758,{},{},[],,,
759,"{'column': 'A12', 'value': 5.164817304780273, 'decimals': 0}","{'upper_thr': 2.444585084, 'pct_below': 0.9738562091503268, 'mean': 1.2669917762617455, 'sd': 0.3277595569341606, 'n_obs': 149}","[{'column': 'A14', 'comparison': '>', 'value_comp': 1.097401286, 'value_this': 1.44140775, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 0.411635995, 'value_this': 0.978109868, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.718158548, 'value_this': 1.3999500619999998, 'decimals': 1}]",3.0,0.0,0.007006194688540376
760,{},{},[],,,
761,{},{},[],,,
762,{},{},[],,,
