A0,A1,A2,A3,A4,A5,A6,A7,A8,label,reason
37,0,80,0,26,24,43,54,12,0.0,0
50,0,89,1,50,0,39,40,0,0.0,0
41,2,77,0,537,6,36,36,0,1.0,A4
37,0,81,0,12,10,44,68,24,0.0,0
37,0,84,0,26,5,47,58,476,1.0,A8
41,0,79,3,38,5,39,41,2,0.0,0
46,0,100,0,44,8,54,56,2,0.0,0
58,0,86,4,56,0,29,30,0,0.0,0
108,5,102,0,42,0,60,60,0,1.0,A0
37,0,79,0,6,29,42,74,32,0.0,0
37,0,76,0,34,0,39,43,4,0.0,0
49,3,77,0,50,1,28,28,0,0.0,0
37,0,76,0,24,3,39,52,14,0.0,0
108,0,78,0,46,25,29,32,2,1.0,A0
38,1,91,1,6,6,168,86,32,1.0,A6
56,0,95,0,54,3,40,41,2,0.0,0
47,1,88,0,537,0,41,42,0,1.0,A4
53,3,88,0,54,2,34,33,476,1.0,A8
45,3,81,0,44,6,35,424,2,1.0,A7
44,21,88,6302,44,0,44,44,0,1.0,A3
43,0,81,8,42,0,38,40,2,0.0,0
37,0,82,0,16,21,45,66,22,0.0,0
37,0,77,2,30,12,40,46,6,0.0,0
53,4,86,0,52,27,33,34,2,0.0,0
37,0,97,0,20,8,60,77,16,0.0,0
37,0,76,0,38,12,39,37,0,0.0,0
37,0,82,0,18,13,45,64,18,0.0,0
56,0,80,0,537,21,24,26,2,1.0,A4
45,0,86,1,46,31,41,40,0,0.0,0
56,0,96,0,54,6,40,42,2,0.0,0
57,3,97,0,537,1,40,40,0,1.0,A4
37,0,76,1,36,26,39,40,2,0.0,0
45,0,83,0,46,18,37,36,0,0.0,0
37,0,78,3,6,0,41,86,44,0.0,0
37,0,91,3,16,0,53,424,22,1.0,A7
37,0,77,0,28,14,40,424,8,1.0,A7
37,0,100,0,36,9,64,64,0,0.0,0
41,4,89,0,42,0,48,48,0,0.0,0
41,1,238,0,42,1,48,47,0,1.0,A2
37,0,77,0,36,21,40,41,2,0.0,0
42,5,79,0,42,0,37,38,2,0.0,0
44,0,76,1,44,4,32,32,0,0.0,0
43,0,78,0,44,27,35,34,0,0.0,0
56,0,97,6302,54,7,40,42,2,1.0,A3
43,0,83,0,42,23,40,42,2,0.0,0
37,0,104,0,16,17,67,89,22,0.0,0
59,0,86,1,56,24262,28,30,2,1.0,A5
37,0,238,0,10,22,41,68,26,1.0,A2
44,0,79,5,44,23,36,35,0,0.0,0
58,3,85,0,56,0,28,28,0,0.0,0
37,0,97,2,34,0,59,63,4,0.0,0
49,2,85,0,50,0,36,36,0,0.0,0
37,0,78,0,10,24262,41,68,26,1.0,A5
44,0,88,3,42,24,44,46,2,0.0,0
43,1,86,0,42,0,44,45,2,0.0,0
37,0,107,0,30,0,70,76,6,0.0,0
108,5,93,3,38,2,55,55,0,1.0,A0
37,0,81,0,36,16,43,44,2,0.0,0
49,0,81,8,50,0,32,32,0,0.0,0
51,0,86,6302,52,16,36,35,0,1.0,A3
37,0,78,0,2,3,41,75,34,0.0,0
37,0,81,0,28,7,44,424,8,1.0,A7
37,0,238,6,18,0,66,86,20,1.0,A2
37,2,76,0,38,7,38,37,0,0.0,0
44,0,83,0,44,13,39,39,0,0.0,0
56,0,79,0,54,27,23,24,2,0.0,0
49,6476,106,6,46,9,57,59,2,1.0,A1
44,0,82,1,42,30,38,41,2,0.0,0
51,6476,82,0,50,20,31,33,2,1.0,A1
37,0,76,6,24,8,39,52,14,0.0,0
45,0,86,0,44,20,41,42,2,0.0,0
49,4,83,0,46,14,34,37,2,0.0,0
45,1,76,0,44,20,31,32,2,0.0,0
37,0,79,3,34,5,42,46,4,0.0,0
45,0,79,0,46,16,33,32,0,0.0,0
37,0,81,0,36,8,43,44,2,0.0,0
37,0,104,0,26,5,66,78,12,0.0,0
45,0,79,1,44,25,33,35,2,0.0,0
38,0,76,0,38,14,38,37,0,0.0,0
52,0,88,0,52,4,36,37,0,0.0,0
37,0,77,2,24,1,40,54,14,0.0,0
37,0,80,0,28,31,43,52,8,0.0,0
43,0,77,0,44,26,34,33,0,0.0,0
54,0,81,1,54,8,27,26,0,0.0,0
53,3,86,0,54,0,32,32,0,0.0,0
49,6476,78,0,50,1,29,29,0,1.0,A1
45,2,86,5,46,30,41,40,0,0.0,0
37,0,76,0,36,18,39,39,0,0.0,0
55,0,82,0,54,12,26,28,2,0.0,0
37,0,96,5,18,0,59,78,18,0.0,0
39,2,79,2,38,0,39,40,0,0.0,0
48,1,86,1,46,0,38,39,2,0.0,0
37,1,76,4,30,7,40,45,6,0.0,0
37,0,94,6302,8,1,57,86,30,1.0,A3
50,0,86,3,50,0,36,37,0,0.0,0
46,4,86,0,46,0,40,39,0,0.0,0
49,0,81,0,50,12,32,32,0,0.0,0
44,1864,88,0,44,0,44,44,0,0.0,0
44,0,86,0,44,9,42,42,0,0.0,0
37,0,105,1,20,6,68,84,16,0.0,0
46,0,81,2,44,24,35,37,2,0.0,0
46,3,81,0,46,8,35,35,0,0.0,0
43,1,87,0,44,20,44,43,0,0.0,0
43,1,89,0,42,0,46,48,2,0.0,0
45,1,80,0,44,0,35,36,0,0.0,0
37,0,83,0,6,1,47,78,32,0.0,0
37,2,77,0,36,0,40,41,0,0.0,0
42,1,78,0,42,0,37,37,0,0.0,0
56,0,87,3,56,0,31,30,0,0.0,0
41,0,77,3,38,16,37,39,2,0.0,0
37,18,106,3,36,24262,69,69,0,1.0,A5
37,0,105,6302,34,14,68,71,4,1.0,A3
37,0,80,0,34,14,43,46,2,0.0,0
57,1,88,0,56,0,31,31,0,0.0,0
37,0,92,0,12,4,54,79,24,0.0,0
59,1,108,0,60,0,49,49,0,0.0,0
38,0,92,0,24,17,54,69,14,0.0,0
44,0,77,1,42,16,33,35,2,0.0,0
43,0,89,7,42,0,46,48,2,0.0,0
45,1,86,7,44,0,41,42,2,0.0,0
45,4,108,0,44,0,63,64,2,0.0,0
43,0,79,0,42,12,36,38,2,0.0,0
44,1,81,0,44,3,38,37,0,0.0,0
42,5,85,3,42,3,44,44,0,0.0,0
49,1,83,0,50,1,34,34,0,0.0,0
43,2,79,0,42,11,36,38,2,0.0,0
44,1,83,3,44,0,38,39,0,0.0,0
39,2,80,3,38,0,41,41,0,0.0,0
37,0,78,6302,6,1,42,73,32,1.0,A3
37,1,79,0,36,0,42,43,0,0.0,0
43,0,84,1,42,0,42,43,2,0.0,0
41,0,238,0,42,12,34,34,0,1.0,A2
50,0,78,6,50,0,168,29,0,1.0,A6
37,0,75,0,20,19,38,54,16,0.0,0
38,0,93,0,30,5,55,62,8,0.0,0
45,0,87,8,44,0,42,43,2,0.0,0
56,1,96,0,54,4,40,42,2,0.0,0
44,0,75,0,42,22,31,34,2,0.0,0
46,0,79,1,46,0,33,32,0,0.0,0
43,0,87,0,44,25,44,43,0,0.0,0
45,1,86,5,44,11,40,42,2,0.0,0
37,0,77,0,36,10,41,41,0,0.0,0
108,3,86,0,42,0,45,45,0,1.0,A0
44,0,76,5,44,3,32,32,0,0.0,0
44,2,86,0,44,18,42,42,0,0.0,0
53,5,83,0,52,24,30,32,2,0.0,0
66,0,112,1,68,8,46,45,0,0.0,0
44,0,81,0,44,13,37,37,0,0.0,0
52,0,88,2,52,3,36,424,0,1.0,A7
49,1,80,0,46,18,31,34,2,0.0,0
46,2,83,0,44,30,37,39,2,0.0,0
37,0,77,8,36,0,168,41,0,1.0,A6
44,0,76,2,44,0,32,32,0,0.0,0
43,0,83,0,42,24262,40,42,2,1.0,A5
37,0,106,0,30,21,68,75,6,0.0,0
37,0,79,2,8,14,42,71,28,0.0,0
44,1,86,0,44,11,168,42,0,1.0,A6
47,2,75,0,46,0,28,28,0,0.0,0
43,0,79,1,42,0,37,38,2,0.0,0
46,0,82,3,46,0,36,35,0,0.0,0
44,1,82,0,44,9,38,38,0,0.0,0
41,0,81,0,42,7,40,40,0,0.0,0
43,0,75,0,42,7,32,34,2,0.0,0
59,3,108,0,56,23,49,51,2,0.0,0
51,1,83,0,50,6,32,33,2,0.0,0
37,0,77,0,22,1,41,101,60,0.0,0
49,0,77,0,46,19,28,30,2,0.0,0
44,0,79,0,42,24,35,37,2,0.0,0
39,5,82,4,38,0,43,43,0,0.0,0
37,0,104,0,18,3,66,86,20,0.0,0
37,0,81,0,24,0,44,58,14,0.0,0
43,4,84,0,42,0,42,43,2,0.0,0
41,0,85,0,42,20,44,44,0,0.0,0
48,0,95,0,50,25,47,46,0,0.0,0
37,0,80,6,34,0,43,46,4,0.0,0
47,0,78,2,46,0,31,32,0,0.0,0
37,0,79,0,28,18,42,51,8,0.0,0
47,3,83,0,46,0,35,36,0,0.0,0
47,5,109,0,46,0,61,62,0,0.0,0
53,2,81,6302,54,0,28,27,0,1.0,A3
37,0,76,0,36,9,39,40,2,0.0,0
37,0,78,0,6,18,41,73,32,0.0,0
38,0,76,0,36,26,168,40,2,1.0,A6
58,0,87,7,56,0,30,30,0,0.0,0
37,0,92,2,16,0,54,76,22,0.0,0
37,0,78,0,2,7,41,81,40,0.0,0
37,0,77,3,34,5,40,43,2,0.0,0
44,41,88,0,44,0,44,44,0,0.0,0
37,0,79,2,12,13,42,66,24,0.0,0
45,1,83,0,46,31,37,36,0,0.0,0
37,0,77,0,16,0,41,62,22,0.0,0
49,0,82,0,46,5,33,35,2,0.0,0
37,0,78,0,26,3,41,52,12,0.0,0
45,0,84,3,44,0,40,41,0,0.0,0
41,0,97,1,38,15,56,58,2,0.0,0
40,4,109,0,38,0,70,71,2,0.0,0
42,0,88,5,42,0,45,46,2,0.0,0
37,0,80,0,30,24,43,49,6,0.0,0
108,5,86,0,46,10,41,40,0,1.0,A0
43,0,81,0,42,18,37,39,2,0.0,0
41,0,78,0,42,3,37,37,0,0.0,0
108,0,77,0,20,16,40,57,16,1.0,A0
46,0,88,0,44,22,42,44,2,0.0,0
51,1,86,0,50,7,168,37,2,1.0,A6
53,3,81,0,54,27,28,27,0,0.0,0
46,0,93,1,46,2,47,46,0,0.0,0
45,3,76,0,44,0,30,32,2,0.0,0
43,0,85,0,42,1,42,44,2,0.0,0
44,0,85,0,44,11,41,41,0,0.0,0
44,2,83,1,44,0,38,39,0,0.0,0
41,0,76,0,38,29,34,37,2,0.0,0
57,3,80,1,56,0,23,23,0,0.0,0
37,0,106,0,20,29,69,85,16,0.0,0
45,0,78,0,46,20,33,32,0,0.0,0
55,0,95,0,54,24262,40,41,2,1.0,A5
37,2,90,2,6,0,53,85,32,0.0,0
46,1,75,1,46,0,29,28,0,0.0,0
45,0,90,0,537,10,44,43,0,1.0,A4
49,0,88,3,50,0,39,39,0,0.0,0
51,1,78,0,52,5,27,26,0,0.0,0
53,0,80,0,54,0,27,26,0,0.0,0
42,0,77,0,42,0,34,35,2,0.0,0
37,0,80,7,2,0,43,83,476,1.0,A8
41,0,83,1,42,31,42,41,0,0.0,0
108,13,75,0,28,16,38,46,8,1.0,A0
37,0,84,0,26,16,47,58,10,0.0,0
52,4,81,7,52,0,30,30,0,0.0,0
45,0,80,0,44,1,35,36,0,0.0,0
42,1,77,0,42,0,35,36,0,0.0,0
46,5,88,0,46,1,168,41,0,1.0,A6
45,0,83,5,46,14,37,36,0,0.0,0
37,6476,76,7,36,0,40,40,0,1.0,A1
57,3,91,0,56,0,34,34,476,1.0,A8
50,3,91,0,50,0,40,42,2,0.0,0
45,5,81,0,44,2,36,37,2,0.0,0
51,0,81,0,52,21,30,30,0,0.0,0
51,0,88,0,52,11,36,36,0,0.0,0
37,0,83,0,0,3,46,424,36,1.0,A7
51,1,80,0,52,7,29,28,0,0.0,0
37,0,83,0,8,31,46,75,30,0.0,0
48,4,106,0,46,0,58,60,2,0.0,0
37,0,76,4,537,11,39,45,6,1.0,A4
37,2,83,0,36,0,47,47,0,0.0,0
50,1,86,0,50,0,36,37,0,0.0,0
43,0,83,1,42,0,40,41,2,0.0,0
41,0,81,2,42,0,39,424,0,1.0,A7
37,0,95,0,24,17,58,72,14,0.0,0
44,4,88,0,42,26,45,47,2,0.0,0
53,0,87,0,52,16,34,35,2,0.0,0
37,0,77,0,8,7,40,69,30,0.0,0
39,0,97,5,38,0,58,59,0,0.0,0
37,0,76,3,24,8,39,52,14,0.0,0
54,5,81,5,54,0,27,27,0,0.0,0
37,0,78,0,30,13,41,47,6,0.0,0
43,0,86,6,42,0,42,44,2,0.0,0
45,0,86,7,44,0,41,42,0,0.0,0
55,2,89,0,537,0,34,35,0,1.0,A4
51,2,86,0,52,0,35,34,0,0.0,0
37,0,75,0,28,3,38,46,8,0.0,0
45,0,79,0,44,3,34,35,2,0.0,0
53,0,83,0,52,14,30,32,2,0.0,0
108,0,76,0,26,26,39,50,12,1.0,A0
37,0,81,0,24,21,44,58,14,0.0,0
37,0,77,0,26,30,41,52,10,0.0,0
42,2,79,0,42,0,37,38,0,0.0,0
42,1,77,0,42,0,34,35,2,0.0,0
37,0,96,0,16,13,59,81,22,0.0,0
54,3,78,2,54,0,168,24,0,1.0,A6
48,0,87,8,46,24262,39,41,2,1.0,A5
42,1,87,8,42,0,45,46,0,0.0,0
37,0,76,0,34,18,40,43,2,0.0,0
37,6476,80,0,20,22,43,59,16,1.0,A1
44,1,108,0,42,24,64,66,2,0.0,0
51,0,86,2,52,4,168,35,0,1.0,A6
37,0,78,6,28,0,41,424,8,1.0,A7
53,0,104,0,54,4,51,49,0,0.0,0
37,0,78,2,20,6,42,57,16,0.0,0
37,0,76,1,28,2,39,48,8,0.0,0
45,3,84,0,44,15,38,40,2,0.0,0
45,3,81,0,44,0,37,37,0,0.0,0
37,0,78,0,2,30,42,75,34,0.0,0
53,0,104,1,54,3,51,49,0,0.0,0
46,1,238,0,44,22,40,42,2,1.0,A2
40,0,75,6,38,0,35,36,2,0.0,0
37,0,79,0,28,3,43,51,8,0.0,0
49,5,83,1,50,6,33,33,0,0.0,0
37,0,77,3,16,0,40,62,22,0.0,0
57,3,88,0,56,0,31,31,0,0.0,0
44,4,78,0,44,1,34,34,0,0.0,0
46,1,88,0,46,0,41,41,0,0.0,0
48,5,87,0,46,0,39,41,2,0.0,0
44,1,86,7,44,24262,42,42,0,1.0,A5
45,5,76,0,44,0,31,32,0,0.0,0
51,2,86,0,50,4,35,37,2,0.0,0
37,1,77,6302,36,0,40,41,0,1.0,A3
56,0,95,5,56,2,40,39,0,0.0,0
47,0,95,0,46,0,49,49,0,0.0,0
53,2,81,0,54,0,168,26,0,1.0,A6
49,0,83,0,50,31,34,34,0,0.0,0
49,0,84,1,50,1,35,35,0,0.0,0
43,0,84,1,42,4,41,43,2,0.0,0
37,0,75,6302,26,0,38,49,10,1.0,A3
51,0,79,0,52,8,27,27,0,0.0,0
37,0,81,0,36,18,43,44,2,0.0,0
53,0,86,4,54,10,33,32,0,0.0,0
55,0,82,2,54,173,26,28,2,0.0,0
44,3,84,1,44,12,41,41,476,1.0,A8
37,0,77,0,20,17,40,56,16,0.0,0
51,3,77,0,52,22,26,25,0,0.0,0
39,2,82,0,38,0,42,43,0,0.0,0
44,0,80,4,44,1,36,36,0,0.0,0
37,0,94,0,16,0,57,79,22,0.0,0
41,0,87,3,38,12,46,48,2,0.0,0
44,0,88,6302,44,2,44,44,0,1.0,A3
42,0,81,0,42,0,40,40,0,0.0,0
56,2,86,0,56,7,30,29,0,0.0,0
38,0,76,0,38,18,38,37,0,0.0,0
46,0,88,4,46,0,43,42,0,0.0,0
41,1,77,0,42,0,36,35,0,0.0,0
47,0,82,4,46,0,35,35,0,0.0,0
41,1,79,0,42,18,38,37,0,0.0,0
37,0,81,1,2,0,44,84,40,0.0,0
49,2,77,0,46,13,28,30,2,0.0,0
55,0,81,0,56,31,25,24,0,0.0,0
49,5,86,0,46,11,38,40,2,0.0,0
44,0,76,1,44,6,32,32,0,0.0,0
56,4,81,0,56,2,25,24,0,0.0,0
43,5,90,0,42,0,168,49,2,1.0,A6
51,0,82,0,50,17,31,33,2,0.0,0
41,0,78,4,42,23,37,37,0,0.0,0
37,5,77,0,36,0,41,41,476,1.0,A8
56,0,108,0,54,11,52,53,2,0.0,0
44,0,86,0,42,31,42,44,2,0.0,0
48,0,86,6302,46,0,38,40,2,1.0,A3
38,1,81,0,38,0,42,42,0,0.0,0
53,0,86,2,54,6,33,32,0,0.0,0
42,5,96,0,42,0,54,55,2,0.0,0
37,0,76,0,34,30,39,42,2,0.0,0
41,0,79,0,42,9,38,37,0,0.0,0
45,1,76,0,44,16,31,32,2,0.0,0
44,3,85,0,44,0,41,41,0,0.0,0
58,4,108,0,56,4,49,51,2,0.0,0
37,0,74,6,28,0,38,46,8,0.0,0
37,0,80,0,38,3,43,41,0,0.0,0
38,0,92,0,20,17,54,71,18,0.0,0
37,0,76,0,20,11,168,55,16,1.0,A6
40,3,77,0,38,0,37,38,2,0.0,0
37,2,77,0,36,17,40,41,2,0.0,0
37,0,77,0,36,11,168,41,2,1.0,A6
37,0,80,6,8,0,43,72,28,0.0,0
37,0,76,0,537,28,39,40,2,1.0,A4
37,0,79,7,12,0,43,66,24,0.0,0
51,1,83,0,50,26,32,34,2,0.0,0
37,0,78,0,0,2,42,78,36,0.0,0
58,0,86,4,56,0,28,29,0,0.0,0
56,0,96,3,54,0,40,42,2,0.0,0
40,0,77,8,38,0,36,38,2,0.0,0
51,5,80,0,50,11,29,31,2,0.0,0
49,0,238,0,46,6,30,32,2,1.0,A2
37,0,84,0,28,10,47,55,8,0.0,0
41,2,76,0,42,9,35,35,0,0.0,0
37,2,100,0,36,0,64,64,0,0.0,0
50,1,78,2,50,0,28,29,2,0.0,0
52,0,88,4,52,0,35,36,0,0.0,0
43,2,81,0,42,10,168,39,2,1.0,A6
53,0,109,3,52,6,56,57,2,0.0,0
51,0,86,0,52,21,36,35,0,0.0,0
108,0,78,0,24,7,42,55,14,1.0,A0
37,1,77,0,38,16,39,38,0,0.0,0
53,0,88,0,52,20,35,36,2,0.0,0
64,0,113,1,64,17,49,48,0,0.0,0
45,3,88,1,44,0,43,44,2,0.0,0
42,6476,76,1,42,2,35,35,0,1.0,A1
46,0,81,0,44,27,35,37,2,0.0,0
41,0,107,0,38,3,66,68,476,1.0,A8
41,0,79,2,42,5,38,38,0,0.0,0
44,0,77,0,42,21,33,35,2,0.0,0
42,4,76,0,42,2,34,34,0,0.0,0
49,0,82,0,50,14,33,33,0,0.0,0
41,0,81,0,42,30,40,39,0,0.0,0
46,0,84,0,44,27,38,40,2,0.0,0
53,0,102,1,54,5,49,48,0,0.0,0
46,2,83,0,46,3,37,36,0,0.0,0
37,0,81,7,30,0,45,50,6,0.0,0
38,0,81,0,38,14,43,42,0,0.0,0
45,2,77,0,46,20,32,31,0,0.0,0
37,1,79,0,537,0,42,43,0,1.0,A4
37,6476,77,0,24,7,41,103,62,1.0,A1
49,0,95,5,46,24262,47,49,2,1.0,A5
37,0,77,0,10,11,40,66,26,0.0,0
48,0,80,4,46,0,32,34,2,0.0,0
37,0,80,0,537,11,43,49,6,1.0,A4
37,0,93,2,12,1,55,80,24,0.0,0
37,0,77,0,20,25,40,56,16,0.0,0
37,0,96,0,36,10,59,60,2,0.0,0
37,0,79,0,10,28,43,69,26,0.0,0
41,3,89,1,38,0,48,50,2,0.0,0
52,1,82,3,52,0,30,424,0,1.0,A7
37,0,105,1,20,10,68,84,16,0.0,0
47,3,84,0,46,0,38,38,0,0.0,0
43,0,79,0,44,11,36,35,0,0.0,0
51,6,95,3,50,0,45,46,2,0.0,0
37,6476,77,3,38,24,39,38,0,1.0,A1
41,0,76,0,42,15,35,34,0,0.0,0
41,2,81,0,38,20,39,42,2,0.0,0
108,0,76,0,38,3,39,37,0,1.0,A0
44,0,81,5,44,1,37,37,0,0.0,0
51,0,238,0,50,2,34,36,2,1.0,A2
37,0,80,6302,34,28,43,46,4,1.0,A3
39,2,80,5,38,8,41,41,0,0.0,0
37,1,104,0,24,1,66,80,14,0.0,0
37,0,76,6302,34,14,39,43,4,1.0,A3
37,0,79,0,8,9,43,72,28,0.0,0
45,0,76,0,46,8,31,30,0,0.0,0
108,1,79,0,42,10,35,37,2,1.0,A0
51,0,83,0,50,25,31,33,2,0.0,0
51,0,88,3,50,0,37,39,2,0.0,0
41,1,77,6302,38,2,37,39,2,1.0,A3
37,0,76,0,38,3,38,37,0,0.0,0
37,0,238,0,24,8,43,56,14,1.0,A2
56,6476,81,2,56,11,25,24,0,1.0,A1
53,0,104,0,54,9,51,49,0,0.0,0
37,0,75,0,34,5,38,41,2,0.0,0
50,2,111,0,50,0,61,62,0,0.0,0
48,0,108,5,46,0,59,61,2,0.0,0
45,0,85,0,44,0,41,41,0,0.0,0
43,0,85,1,42,0,42,44,2,0.0,0
50,4,81,4,50,0,31,32,0,0.0,0
37,0,76,0,36,19,38,39,2,0.0,0
37,4,78,1,16,0,41,63,22,0.0,0
37,0,104,3,20,0,67,84,16,0.0,0
46,0,81,2,46,6,35,34,0,0.0,0
37,0,76,0,26,7,39,50,12,0.0,0
46,0,76,1,46,1,30,30,0,0.0,0
41,0,86,1,42,24,45,44,0,0.0,0
43,2,77,0,42,10,34,35,2,0.0,0
56,3,79,0,54,10,24,25,2,0.0,0
46,0,79,0,46,11,33,32,0,0.0,0
42,2,89,3,42,0,47,48,476,1.0,A8
46,0,88,0,537,4,42,41,0,1.0,A4
37,2,77,0,34,24,40,43,4,0.0,0
43,0,79,7,42,0,35,37,2,0.0,0
47,2,82,0,46,0,35,35,0,0.0,0
55,3,81,0,54,0,26,27,2,0.0,0
43,0,86,3,42,6,43,45,2,0.0,0
37,0,78,6302,8,6,42,70,28,1.0,A3
37,0,104,0,18,2,67,86,20,0.0,0
48,0,81,3,46,0,32,34,2,0.0,0
37,0,103,0,20,24,66,82,16,0.0,0
37,0,77,2,20,1,40,56,16,0.0,0
49,0,85,2,50,0,36,36,0,0.0,0
46,1,79,3,46,0,33,32,0,0.0,0
37,0,106,5,28,2,69,77,8,0.0,0
37,0,77,0,16,21,41,62,22,0.0,0
37,0,78,0,36,5,41,42,2,0.0,0
53,3,81,0,52,1,28,424,2,1.0,A7
44,1,79,0,44,13,35,35,0,0.0,0
37,0,77,2,34,0,40,43,4,0.0,0
48,1,86,2,46,0,39,424,2,1.0,A7
38,1,76,2,38,0,37,37,0,0.0,0
56,3,83,0,56,1,27,26,0,0.0,0
108,0,76,4,28,8,40,48,8,1.0,A0
37,0,79,0,26,19,42,53,12,0.0,0
41,5,80,0,38,22,168,41,2,1.0,A6
49,0,81,0,46,18,32,34,2,0.0,0
37,0,107,21,28,0,168,78,8,1.0,A6
37,0,79,6302,10,8,42,68,26,1.0,A3
45,4,87,0,44,0,43,43,0,0.0,0
37,0,97,2,34,3,59,63,4,0.0,0
49,2,95,4,50,0,46,46,0,0.0,0
44,1,86,0,44,12,42,42,0,0.0,0
43,0,81,3,42,6,37,39,2,0.0,0
45,1,107,0,44,0,62,63,0,0.0,0
47,3,85,1,46,0,38,39,0,0.0,0
53,0,86,0,52,29,33,424,2,1.0,A7
56,0,82,2,54,22,168,28,2,1.0,A6
37,0,77,1,36,24262,39,41,2,1.0,A5
46,0,81,6,46,0,34,34,0,0.0,0
56,0,97,0,54,11,41,43,2,0.0,0
44,2,106,4,42,29,63,65,2,0.0,0
37,0,79,0,2,6,43,77,34,0.0,0
37,1,238,4,36,6,42,43,2,1.0,A2
37,0,81,0,24,22,44,57,14,0.0,0
37,0,94,5,12,0,57,81,24,0.0,0
41,0,77,0,38,23,36,38,2,0.0,0
50,4,84,0,50,0,33,35,2,0.0,0
45,0,83,0,46,15,37,36,0,0.0,0
43,0,81,0,42,12,37,39,2,0.0,0
41,0,83,4,42,8,41,41,0,0.0,0
63,1,112,6,62,0,49,50,0,0.0,0
37,0,81,0,10,9,45,71,26,0.0,0
37,0,75,0,34,7,38,41,4,0.0,0
54,1,83,1,54,0,29,29,0,0.0,0
42,0,76,4,42,0,34,35,2,0.0,0
50,1,86,2,50,0,35,37,2,0.0,0
47,1,87,3,46,0,40,41,0,0.0,0
54,0,79,0,54,0,25,25,476,1.0,A8
37,0,90,2,26,0,53,64,12,0.0,0
47,0,80,0,46,0,33,34,0,0.0,0
48,5,87,0,46,0,39,41,2,0.0,0
52,1,77,4,52,0,26,26,0,0.0,0
51,0,102,0,52,1,51,50,0,0.0,0
56,0,97,0,54,27,41,42,2,0.0,0
37,0,94,1,12,9,57,81,24,0.0,0
37,0,81,0,18,1,44,63,18,0.0,0
38,0,81,0,36,30,43,45,2,0.0,0
46,0,85,0,44,13,39,41,2,0.0,0
49,5,81,0,50,28,33,32,0,0.0,0
49,0,106,2,46,14,58,60,2,0.0,0
37,6476,80,0,0,21,43,80,36,1.0,A1
37,1,78,0,36,0,41,42,0,0.0,0
49,3,81,0,50,0,32,32,476,1.0,A8
56,1,80,0,56,3,24,23,0,0.0,0
53,0,80,0,52,25,27,28,2,0.0,0
45,1,81,3,44,5,36,37,2,0.0,0
44,0,79,0,42,19,168,38,2,1.0,A6
37,0,82,0,36,22,45,46,2,0.0,0
37,0,76,0,38,19,38,37,0,0.0,0
37,0,79,2,537,0,43,46,2,1.0,A4
46,3,80,0,46,2,34,34,0,0.0,0
37,0,104,0,28,4,66,75,8,0.0,0
45,0,106,1,537,2,62,62,0,1.0,A4
41,0,88,3,38,15,48,50,2,0.0,0
44,2,80,1,44,0,36,36,0,0.0,0
37,0,92,0,16,12,54,76,22,0.0,0
37,3,106,6,30,8,69,75,6,0.0,0
41,2,76,0,42,24262,34,34,0,1.0,A5
41,3,83,1,38,6,42,44,2,0.0,0
44,1,86,0,44,7,168,42,0,1.0,A6
37,0,80,0,34,6,43,46,4,0.0,0
37,0,79,2,10,0,42,68,26,0.0,0
44,6476,84,0,44,1,40,41,0,1.0,A1
44,6,76,1,44,2,32,32,0,0.0,0
37,0,105,0,18,13,68,87,18,0.0,0
44,1,88,1,44,0,44,44,0,0.0,0
37,0,76,4,26,1,39,50,10,0.0,0
37,0,81,0,18,22,44,63,18,0.0,0
42,2,76,0,42,0,34,35,2,0.0,0
37,0,78,0,0,23,42,78,36,0.0,0
45,0,78,0,44,22,33,34,2,0.0,0
37,0,77,6,34,29,40,44,4,0.0,0
41,1,79,0,42,6,38,38,0,0.0,0
37,0,81,0,26,13,44,55,10,0.0,0
41,0,89,0,38,4,48,50,2,0.0,0
41,318,78,0,38,0,37,39,2,0.0,0
38,5,78,0,2,1,40,81,40,0.0,0
41,1,106,0,42,3,65,65,0,0.0,0
52,1,86,0,54,31,33,32,0,0.0,0
42,0,80,0,42,1,38,39,0,0.0,0
39,4,78,2,38,0,39,39,0,0.0,0
45,0,88,2,44,0,43,44,2,0.0,0
48,0,86,5,46,0,37,39,2,0.0,0
49,2,90,1,50,27,42,41,0,0.0,0
37,0,108,15,26,1,71,82,12,0.0,0
44,2,85,0,44,3,41,41,0,0.0,0
37,0,75,7,20,12,38,54,16,0.0,0
37,0,105,1,30,9,68,74,6,0.0,0
44,1,86,0,44,1,42,42,0,0.0,0
56,0,83,0,56,16,27,26,0,0.0,0
37,0,75,0,28,506,38,46,8,0.0,0
37,0,108,0,537,9,71,72,0,1.0,A4
52,0,81,1,52,0,29,29,0,0.0,0
45,0,83,6,44,0,38,39,0,0.0,0
41,3,79,0,42,11,38,37,0,0.0,0
37,0,76,4,28,2,39,47,8,0.0,0
108,3,76,0,36,7,39,39,0,1.0,A0
48,5,82,1,46,0,34,35,2,0.0,0
37,0,77,0,18,18,41,96,54,0.0,0
51,0,238,0,50,21,35,37,2,1.0,A2
56,1,81,0,56,9,25,24,0,0.0,0
41,1,108,0,38,6,67,69,2,0.0,0
45,0,81,0,44,1,36,37,0,0.0,0
37,0,106,0,34,5,69,72,4,0.0,0
37,0,74,0,28,14,38,46,8,0.0,0
46,0,93,0,46,10,48,47,0,0.0,0
